"workstation_id","measurement_type","device_id","device_interface","gui_module"
"4","ITIDepth","109","SCS","TrawlEvent"
"4","ITIRangeToTarget","110","SCS","TrawlEvent"
"4","FS70DepthBelowSounder","112","SCS","TrawlEvent"
"4","ITITemperature","111","SCS","TrawlEvent"
"5","FS70DepthBelowSounder","112","SCS","TrawlEvent"
"5","ITITemperature","111","SCS","TrawlEvent"
"6","ITITemperature","111","SCS","TrawlEvent"
"7","ITIBearingToTarget","108","SCS","TrawlEvent"
"7","ITIDepth","109","SCS","TrawlEvent"
"7","ITIRangeToTarget","110","SCS","TrawlEvent"
"7","FS70DepthBelowSounder","112","SCS","TrawlEvent"
"7","NetVerticalOpening","0","Software","TrawlEvent"
"7","HeadRopeHeight","0","Software","TrawlEvent"
"7","NetHorizontalOpening","0","Software","TrawlEvent"
"7","TrawlWireOut","0","Software","TrawlEvent"
"7","ITITemperature","111","SCS","TrawlEvent"
"8","Latitude","100","SCS","TrawlEvent"
"8","Longitude","101","SCS","TrawlEvent"
"8","SOG","102","SCS","TrawlEvent"
"8","Heading","103","SCS","TrawlEvent"
"8","WindSpeed","104","SCS","TrawlEvent"
"8","WindDirection","105","SCS","TrawlEvent"
"8","SurfaceTemp","106","SCS","TrawlEvent"
"8","BottomDepth","107","SCS","TrawlEvent"
"8","ITIBearingToTarget","108","SCS","TrawlEvent"
"8","ITIDepth","109","SCS","TrawlEvent"
"8","ITIRangeToTarget","110","SCS","TrawlEvent"
"8","ITITemperature","111","SCS","TrawlEvent"
"8","FS70DepthBelowSounder","112","SCS","TrawlEvent"
"8","TrawlWireOut","0","Software","TrawlEvent"
"8","HeadRopeHeight","0","Software","TrawlEvent"
"8","NetHorizontalOpening","0","Software","TrawlEvent"
"8","NetVerticalOpening","0","Software","TrawlEvent"
"10","ITIBearingToTarget","108","SCS","TrawlEvent"
"10","ITIDepth","109","SCS","TrawlEvent"
"10","ITIRangeToTarget","110","SCS","TrawlEvent"
"10","FS70DepthBelowSounder","112","SCS","TrawlEvent"
"10","ITITemperature","111","SCS","TrawlEvent"
"14","Latitude","100","SCS","TrawlEvent"
"14","Longitude","101","SCS","TrawlEvent"
"14","SOG","102","SCS","TrawlEvent"
"14","Heading","103","SCS","TrawlEvent"
"14","WindSpeed","104","SCS","TrawlEvent"
"14","WindDirection","105","SCS","TrawlEvent"
"14","SurfaceTemp","106","SCS","TrawlEvent"
"14","BottomDepth","107","SCS","TrawlEvent"
"11","stomach_taken","5","Software","Specimen"
"11","tissue_sample_taken","8","Software","Specimen"
"11","spawning_condition","6","Software","Specimen"
"11","otolith_taken","9","Software","Specimen"
"11","gill_vial_num","11","Software","Specimen"
"11","finclip_vial_num","11","Software","Specimen"
"11","vial_number","11","Software","Specimen"
"11","ovary_taken","7","Software","Specimen"
"11","total_length","25","Serial","Specimen"
"11","standard_length","25","Serial","Specimen"
"11","fork_length","25","Serial","Specimen"
"11","liver_weight","20","Serial","Specimen"
"11","None","41","Serial","Specimen"
"14","spawning_condition","6","Software","Specimen"
"14","otolith_taken","9","Software","Specimen"
"14","tissue_sample_taken","8","Software","Specimen"
"14","stomach_taken","5","Software","Specimen"
"14","ovary_taken","7","Software","Specimen"
"14","vial_number","11","Software","Specimen"
"14","finclip_vial_num","11","Software","Specimen"
"14","gill_vial_num","11","Software","Specimen"
"14","total_length","25","Serial","Specimen"
"14","standard_length","25","Serial","Specimen"
"14","fork_length","25","Serial","Specimen"
"14","liver_weight","20","Serial","Specimen"
