"species_code","subcategory"
"40504","None"
"40505","None"
"40506","None"
"40507","None"
"40508","None"
"40509","None"
"40510","None"
"40511","None"
"40512","None"
"40513","None"
"40520","None"
"40560","None"
"40561","None"
"40562","None"
"40563","None"
"40564","None"
"40565","None"
"40566","None"
"41000","None"
"41100","None"
"41101","None"
"41102","None"
"41201","None"
"41220","None"
"41221","None"
"41300","None"
"41331","None"
"41332","None"
"41333","None"
"41500","None"
"41510","None"
"41520","None"
"41522","None"
"41523","None"
"41525","None"
"41530","None"
"41540","None"
"41550","None"
"41570","None"
"41571","None"
"41572","None"
"41580","None"
"41582","None"
"41583","None"
"41585","None"
"41586","None"
"41600","None"
"41700","None"
"41701","None"
"41750","None"
"41751","None"
"42000","None"
"42001","None"
"42003","None"
"42004","None"
"42005","None"
"42008","None"
"42010","None"
"42012","None"
"42013","None"
"42015","None"
"42017","None"
"42020","None"
"43000","None"
"43001","None"
"43002","None"
"43003","None"
"43004","None"
"43005","None"
"43006","None"
"43007","None"
"43009","None"
"43010","None"
"43020","None"
"43021","None"
"43029","None"
"43030","None"
"43032","None"
"43040","None"
"43041","None"
"43042","None"
"43045","None"
"43050","None"
"43082","None"
"43090","None"
"43100","None"
"43110","None"
"43200","None"
"43201","None"
"43225","None"
"44000","None"
"44005","None"
"44010","None"
"44011","None"
"44020","None"
"44023","None"
"44028","None"
"44029","None"
"44030","None"
"44031","None"
"44032","None"
"44033","None"
"44034","None"
"44035","None"
"44036","None"
"44037","None"
"44038","None"
"44039","None"
"44040","None"
"44041","None"
"44042","None"
"44045","None"
"44046","None"
"44047","None"
"44050","None"
"44052","None"
"44060","None"
"44061","None"
"44071","None"
"44072","None"
"44073","None"
"44074","None"
"44080","None"
"44081","None"
"44082","None"
"44083","None"
"44085","None"
"44086","None"
"44087","None"
"44088","None"
"44089","None"
"44090","None"
"44091","None"
"44092","None"
"44093","None"
"44094","None"
"44095","None"
"44096","None"
"44097","None"
"44098","None"
"44099","None"
"44103","None"
"45000","None"
"45005","None"
"50000","None"
"50001","None"
"50010","None"
"50100","None"
"50160","None"
"50161","None"
"50190","None"
"50192","None"
"52715","None"
"53700","None"
"54000","None"
"54010","None"
"54030","None"
"55900","None"
"56300","None"
"56310","None"
"56311","None"
"56312","None"
"57000","None"
"57001","None"
"57410","None"
"58000","None"
"58001","None"
"59000","None"
"59100","None"
"59110","None"
"59111","None"
"59120","None"
"60001","None"
"60100","None"
"60102","None"
"60105","None"
"60107","None"
"60108","None"
"60109","None"
"60110","None"
"60111","None"
"60112","None"
"60115","None"
"60116","None"
"60118","None"
"60130","None"
"60131","None"
"60132","None"
"60140","None"
"60145","None"
"62000","None"
"62010","None"
"62020","None"
"62022","None"
"63000","None"
"63101","None"
"63500","None"
"63501","None"
"63510","None"
"64000","None"
"64010","None"
"64011","None"
"64012","None"
"64100","None"
"64500","None"
"65000","None"
"65100","None"
"65101","None"
"65201","None"
"65202","None"
"65203","None"
"65204","None"
"65205","None"
"65206","None"
"65209","None"
"65210","None"
"66000","None"
"66003","None"
"66004","None"
"66009","None"
"66010","None"
"66019","None"
"66020","None"
"66025","None"
"66030","None"
"66031","None"
"66033","None"
"66040","None"
"66045","None"
